IP,端口,国家
1.176.172.75,50000,KR
1.177.81.20,23536,KR
1.177.81.20,30663,KR
1.177.81.20,16349,KR
1.177.81.20,12391,KR
1.177.81.20,27647,KR
1.177.81.20,14771,KR
1.177.81.20,15797,KR
1.177.81.20,21038,KR
1.177.81.20,19370,KR
1.177.81.20,10647,KR
1.249.4.71,50002,KR
101.235.121.104,50000,KR
101.32.10.244,10457,HK
101.32.247.126,725,SG
103.106.228.126,2053,JP
103.106.230.186,81,TW
103.111.114.79,443,IN
103.118.40.118,42015,HK
103.127.248.51,443,HK
103.133.178.229,26010,HK
103.137.212.47,8443,JP
103.137.63.205,31564,TW
103.15.90.134,49678,VN
103.159.207.168,2443,TW
103.159.207.172,2443,TW
103.160.100.205,29844,JP
103.195.49.223,1009,HK
103.195.49.224,1009,HK
103.195.49.225,1009,HK
103.20.199.118,12999,JP
103.20.199.166,6666,JP
103.20.199.196,8882,JP
103.232.213.117,8080,JP
103.238.129.215,42734,JP
103.3.63.253,46683,SG
103.75.118.144,2053,JP
103.75.118.251,5900,JP
103.98.149.96,58904,VN
104.248.145.216,443,SG
106.240.106.61,38937,KR
106.240.106.61,32929,KR
106.240.106.61,22305,KR
106.240.106.61,13783,KR
106.243.1.211,34046,KR
106.244.201.248,50000,KR
106.244.68.249,50000,KR
106.253.198.210,50003,KR
106.253.198.210,30053,KR
106.255.89.151,50000,KR
106.255.89.151,30078,KR
108.160.139.154,8443,JP
108.61.181.164,10019,JP
108.61.181.164,10014,JP
110.45.69.216,27265,KR
110.9.4.54,50004,KR
111.118.114.47,24092,KR
111.118.114.47,36769,KR
111.118.114.47,24915,KR
112.119.49.206,23555,HK
112.155.173.72,30069,KR
112.156.154.95,30067,KR
112.158.38.115,26716,KR
112.158.77.21,50034,KR
112.162.138.75,50000,KR
112.162.27.122,50000,KR
112.164.239.188,50000,KR
112.165.17.199,34529,KR
112.165.17.199,20286,KR
112.165.17.199,15602,KR
112.165.17.199,18292,KR
112.165.17.199,35601,KR
112.165.218.172,20683,KR
112.165.218.172,33286,KR
112.165.54.52,35263,KR
112.166.128.60,50000,KR
112.168.162.39,30059,KR
112.169.179.46,50000,KR
112.170.112.178,15846,KR
112.170.112.178,27248,KR
112.170.112.178,36702,KR
112.170.112.178,28154,KR
112.170.112.178,27621,KR
112.170.112.178,27023,KR
112.173.70.40,50000,KR
112.184.1.101,16357,KR
112.186.131.79,50000,KR
112.187.98.56,30036,KR
112.217.78.220,28392,KR
112.218.194.82,23281,KR
112.218.194.82,30063,KR
112.222.49.250,50000,KR
112.222.87.59,20724,KR
112.222.87.59,12731,KR
112.222.87.59,32226,KR
112.222.87.59,37014,KR
112.222.87.59,17777,KR
112.223.212.219,10543,KR
112.223.212.219,19727,KR
112.72.203.25,50000,KR
113.253.142.18,20703,HK
113.254.239.245,11885,HK
113.254.28.142,22200,HK
113.60.219.196,50003,KR
115.140.58.54,36829,KR
115.20.135.212,50000,KR
115.242.180.202,19000,IN
115.69.101.29,20279,KR
115.69.101.29,37698,KR
115.69.101.29,26075,KR
115.69.101.29,11025,KR
115.95.176.24,30059,KR
115.95.176.24,30064,KR
116.204.210.10,443,HK
116.222.95.137,28375,JP
116.241.116.184,20242,TW
116.34.239.204,16035,KR
116.34.239.204,11117,KR
116.35.98.234,31159,KR
116.47.10.236,11102,KR
116.47.199.34,50000,KR
118.130.187.163,17328,KR
118.130.187.163,30069,KR
118.130.187.163,30024,KR
118.130.187.163,30063,KR
118.131.232.132,30063,KR
118.141.64.192,36619,HK
118.142.2.106,22498,HK
118.142.2.106,13745,HK
118.142.2.106,36659,HK
118.142.2.106,21826,HK
118.142.2.106,31542,HK
118.142.2.106,27394,HK
118.163.37.32,81,TW
118.176.177.2,31266,KR
118.176.177.2,23252,KR
118.176.177.2,16169,KR
118.27.12.40,38443,JP
118.32.203.175,50000,KR
118.35.142.122,50000,KR
118.37.105.12,28827,KR
