IP地址	端口	TLS	数据中心	地区	国际代码	国家	城市	网络延迟	下载速度MB/s
23.106.140.129	443	TRUE	KIX	亚太	JP	日本	大阪	107 ms	28.87
202.144.192.76	443	TRUE	NRT	亚太	JP	日本	东京	62 ms	21.62
103.44.255.81	443	TRUE	HKG	亚太	HK	香港	香港	63 ms	19.15
219.76.13.180	443	TRUE	HKG	亚太	HK	香港	香港	503 ms	19.04
143.244.130.180	443	TRUE	BOM	亚太	IN	印度	孟买	124 ms	15.33
139.59.48.26	8443	TRUE	BLR	亚太	IN	印度	班加罗尔	112 ms	14.97
64.227.184.166	8443	TRUE	BLR	亚太	IN	印度	班加罗尔	144 ms	14.36
199.68.156.120	443	TRUE	SJC	北美洲	US	美国	圣何塞	189 ms	13.77
160.153.138.129	2087	TRUE	SJC	北美洲	US	美国	圣何塞	166 ms	13.58
66.179.48.223	443	TRUE	SJC	北美洲	US	美国	圣何塞	176 ms	13.24
160.22.52.161	443	TRUE	SJC	北美洲	US	美国	圣何塞	197 ms	13.23
170.153.144.50	443	TRUE	SJC	北美洲	US	美国	圣何塞	197 ms	13.22
3.109.185.221	443	TRUE	BOM	亚太	IN	印度	孟买	154 ms	13.21
160.153.138.59	2096	TRUE	SJC	北美洲	US	美国	圣何塞	203 ms	13.2
192.206.179.18	443	TRUE	SJC	北美洲	US	美国	圣何塞	196 ms	13.05
160.153.138.217	2053	TRUE	SJC	北美洲	US	美国	圣何塞	204 ms	13
160.153.138.149	2096	TRUE	SJC	北美洲	US	美国	圣何塞	222 ms	12.97
160.153.138.40	2087	TRUE	SJC	北美洲	US	美国	圣何塞	173 ms	12.91
66.179.48.97	443	TRUE	SJC	北美洲	US	美国	圣何塞	172 ms	12.9
160.153.138.77	8443	TRUE	SJC	北美洲	US	美国	圣何塞	206 ms	12.9
170.153.144.189	443	TRUE	SJC	北美洲	US	美国	圣何塞	198 ms	12.83
160.153.138.160	8443	TRUE	SJC	北美洲	US	美国	圣何塞	201 ms	12.78
160.153.137.140	443	TRUE	SJC	北美洲	US	美国	圣何塞	237 ms	12.77
109.176.239.40	443	TRUE	SJC	北美洲	US	美国	圣何塞	204 ms	12.71
160.22.52.71	443	TRUE	SJC	北美洲	US	美国	圣何塞	194 ms	12.7
65.20.76.125	8443	TRUE	BOM	亚太	IN	印度	孟买	145 ms	12.59
192.206.179.217	443	TRUE	SJC	北美洲	US	美国	圣何塞	198 ms	12.53
3.111.155.29	443	TRUE	BOM	亚太	IN	印度	孟买	135 ms	12.43
160.153.138.168	2083	TRUE	SJC	北美洲	US	美国	圣何塞	224 ms	12.43
160.153.138.171	2096	TRUE	SJC	北美洲	US	美国	圣何塞	169 ms	12.4
160.153.138.184	2096	TRUE	SJC	北美洲	US	美国	圣何塞	173 ms	12.27
199.68.156.143	443	TRUE	SJC	北美洲	US	美国	圣何塞	184 ms	12.26
135.84.74.236	443	TRUE	LAX	北美洲	US	美国	洛杉矶	186 ms	12.25
160.153.138.211	2053	TRUE	SJC	北美洲	US	美国	圣何塞	165 ms	12.22
160.22.52.249	443	TRUE	SJC	北美洲	US	美国	圣何塞	199 ms	12.21
160.153.137.71	443	TRUE	SJC	北美洲	US	美国	圣何塞	179 ms	12.2
160.22.52.212	443	TRUE	SJC	北美洲	US	美国	圣何塞	188 ms	12.18
199.107.164.159	443	TRUE	SJC	北美洲	US	美国	圣何塞	197 ms	12.18
192.206.179.36	443	TRUE	SJC	北美洲	US	美国	圣何塞	164 ms	12.17
160.153.138.160	2053	TRUE	SJC	北美洲	US	美国	圣何塞	184 ms	12.16
170.153.144.155	443	TRUE	SJC	北美洲	US	美国	圣何塞	163 ms	12.14
199.68.156.134	443	TRUE	SJC	北美洲	US	美国	圣何塞	167 ms	12.13
160.153.1.210	443	TRUE	SJC	北美洲	US	美国	圣何塞	155 ms	12.12
170.153.144.193	443	TRUE	SJC	北美洲	US	美国	圣何塞	178 ms	12.11
66.179.48.36	443	TRUE	SJC	北美洲	US	美国	圣何塞	179 ms	12.11
160.153.137.56	443	TRUE	SJC	北美洲	US	美国	圣何塞	196 ms	12.11
160.153.137.88	443	TRUE	SJC	北美洲	US	美国	圣何塞	189 ms	12.09
209.102.207.241	443	TRUE	SJC	北美洲	US	美国	圣何塞	187 ms	12.08
192.206.179.74	443	TRUE	SJC	北美洲	US	美国	圣何塞	175 ms	12.08
160.153.137.127	443	TRUE	SJC	北美洲	US	美国	圣何塞	214 ms	12.07
209.102.207.7	443	TRUE	SJC	北美洲	US	美国	圣何塞	180 ms	12.06
199.68.156.254	443	TRUE	SJC	北美洲	US	美国	圣何塞	163 ms	12.06
66.179.48.59	443	TRUE	SJC	北美洲	US	美国	圣何塞	166 ms	12.06
109.176.239.25	443	TRUE	SJC	北美洲	US	美国	圣何塞	166 ms	12.04
160.153.138.170	2087	TRUE	SJC	北美洲	US	美国	圣何塞	180 ms	12.04
160.153.1.101	443	TRUE	SJC	北美洲	US	美国	圣何塞	170 ms	12.04
160.153.1.177	443	TRUE	SJC	北美洲	US	美国	圣何塞	191 ms	12.04
192.206.179.132	443	TRUE	SJC	北美洲	US	美国	圣何塞	191 ms	12.03
199.107.164.211	443	TRUE	SJC	北美洲	US	美国	圣何塞	170 ms	12.03
