IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
156.59.91.176,443,TRUE,HKG,亚太,HK,香港,香港,38 ms,37.73
35.201.203.106,443,TRUE,TPE,亚太,TW,台湾,台北,62 ms,37.11
207.148.105.247,443,TRUE,NRT,亚太,JP,日本,东京,104 ms,30.95
167.179.74.220,2053,TRUE,NRT,亚太,JP,日本,东京,104 ms,28.03
52.197.230.94,443,TRUE,NRT,亚太,JP,日本,东京,107 ms,27.77
54.199.222.232,443,TRUE,NRT,亚太,JP,日本,东京,106 ms,27.58
202.182.115.102,443,TRUE,NRT,亚太,JP,日本,东京,104 ms,27.19
3.1.116.161,2053,TRUE,SIN,亚太,SG,新加坡,新加坡,77 ms,26.18
13.230.34.30,443,TRUE,NRT,亚太,JP,日本,东京,106 ms,25.64
54.248.121.219,443,TRUE,NRT,亚太,JP,日本,东京,107 ms,25.03
18.183.158.211,443,TRUE,NRT,亚太,JP,日本,东京,106 ms,24.69
13.229.159.215,443,TRUE,SIN,亚太,SG,新加坡,新加坡,83 ms,23.84
83.142.30.5,2096,TRUE,SIN,亚太,SG,新加坡,新加坡,97 ms,23.5
158.179.171.53,443,TRUE,ICN,亚太,KR,韩国,首尔,129 ms,23.38
18.183.158.211,443,TRUE,NRT,亚太,JP,日本,东京,57 ms,23.14
35.201.203.106,443,TRUE,TPE,亚太,TW,台湾,台北,140 ms,22.21
141.11.86.226,8443,TRUE,TPE,亚太,TW,台湾,台北,141 ms,21.65
45.12.134.250,8443,TRUE,NRT,亚太,JP,日本,东京,110 ms,21.1
52.141.25.42,443,TRUE,ICN,亚太,KR,韩国,首尔,127 ms,20.93
15.165.121.25,443,TRUE,ICN,亚太,KR,韩国,首尔,134 ms,19.9
4.230.8.95,443,TRUE,ICN,亚太,KR,韩国,首尔,128 ms,19.68
143.244.130.180,443,TRUE,BOM,亚太,IN,印度,孟买,110 ms,19.23
52.141.25.42,443,TRUE,ICN,亚太,KR,韩国,首尔,171 ms,18.41
83.142.30.4,2096,TRUE,SIN,亚太,SG,新加坡,新加坡,98 ms,18.29
91.194.160.45,8443,TRUE,NRT,亚太,JP,日本,东京,124 ms,17.82
165.232.182.81,443,TRUE,BLR,亚太,IN,印度,班加罗尔,117 ms,17.27
132.145.94.80,443,TRUE,ICN,亚太,KR,韩国,首尔,135 ms,16.43
64.110.79.188,443,TRUE,ICN,亚太,KR,韩国,首尔,131 ms,15.98
103.137.63.3,443,TRUE,KHH,亚太,TW,台湾,高雄,134 ms,15.63
13.228.142.218,443,TRUE,SIN,亚太,SG,新加坡,新加坡,170 ms,15.56
13.228.155.72,443,TRUE,SIN,亚太,SG,新加坡,新加坡,83 ms,15.48
65.20.74.136,2053,TRUE,BOM,亚太,IN,印度,孟买,129 ms,15.3
152.70.90.168,443,TRUE,ICN,亚太,KR,韩国,首尔,133 ms,15.16
13.229.159.215,443,TRUE,SIN,亚太,SG,新加坡,新加坡,171 ms,15.14
193.122.114.82,443,TRUE,ICN,亚太,KR,韩国,首尔,131 ms,15.11
13.230.34.30,443,TRUE,NRT,亚太,JP,日本,东京,84 ms,14.84
65.20.82.22,443,TRUE,BOM,亚太,IN,印度,孟买,121 ms,14.65
219.76.13.177,443,TRUE,HKG,亚太,HK,香港,香港,157 ms,14.37
209.97.173.243,443,TRUE,SIN,亚太,SG,新加坡,新加坡,168 ms,14.35
3.111.155.29,443,TRUE,BOM,亚太,IN,印度,孟买,138 ms,13.94
167.71.194.185,8443,TRUE,SIN,亚太,SG,新加坡,新加坡,168 ms,13.81
13.250.14.76,443,TRUE,SIN,亚太,SG,新加坡,新加坡,170 ms,13.62
140.238.50.112,443,TRUE,NRT,亚太,JP,日本,东京,152 ms,13.28
219.76.13.180,443,TRUE,HKG,亚太,HK,香港,香港,158 ms,13.17
38.180.29.115,443,TRUE,NRT,亚太,JP,日本,东京,104 ms,12.85
13.228.142.218,443,TRUE,SIN,亚太,SG,新加坡,新加坡,81 ms,12.56
122.2.198.74,443,TRUE,HKG,亚太,HK,香港,香港,171 ms,12.54
143.198.196.196,2053,TRUE,SIN,亚太,SG,新加坡,新加坡,169 ms,12.34
