﻿IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
219.76.13.180,443,true,HKG,亚太,HK,香港,香港,733 ms,41.04
13.250.131.37,443,true,SIN,亚太,SG,新加坡,新加坡,108 ms,27.00
219.76.13.181,443,true,HKG,亚太,HK,香港,香港,514 ms,25.75
54.199.222.232,443,true,NRT,亚太,JP,日本,东京,77 ms,25.40
202.144.192.76,443,true,NRT,亚太,JP,日本,东京,114 ms,24.09
219.76.13.166,443,true,HKG,亚太,HK,香港,香港,819 ms,21.54
54.151.242.175,8443,true,SIN,亚太,SG,新加坡,新加坡,72 ms,19.59
13.250.14.76,443,true,SIN,亚太,SG,新加坡,新加坡,81 ms,18.72
139.59.48.26,8443,true,BOM,亚太,IN,印度,孟买,131 ms,16.70
13.230.34.30,443,true,NRT,亚太,JP,日本,东京,56 ms,16.15
13.228.155.72,443,true,SIN,亚太,SG,新加坡,新加坡,108 ms,16.00
98.70.26.236,443,true,BOM,亚太,IN,印度,孟买,152 ms,15.61
65.20.76.125,8443,true,BOM,亚太,IN,印度,孟买,153 ms,15.45
219.76.13.183,443,true,HKG,亚太,HK,香港,香港,656 ms,14.03
219.76.13.169,443,true,HKG,亚太,HK,香港,香港,677 ms,12.33
64.227.184.166,8443,true,BOM,亚太,IN,印度,孟买,133 ms,11.06
13.229.159.215,443,true,SIN,亚太,SG,新加坡,新加坡,108 ms,9.83
54.248.121.219,443,true,NRT,亚太,JP,日本,东京,58 ms,9.67
148.113.43.228,8443,true,BOM,亚太,IN,印度,孟买,236 ms,8.16
